Tweet,Topic
"Congrats! More #medals have been won at #Tokyo2020. 
Tweet automatically posted when more medals are won in… https://t.co/xhO4hUkXBF",0
"Omg I found Oozara Subaru and her relatives 

#Vtuber #VTuberEN #Tokyo2020 #VTuberUprising #ENVtuber #ENVtuber… https://t.co/tfYhoCrczi",-1
"Congratulations to @LindseyHoran who is set to earn her 100th @USWNT cap at #Tokyo2020

@TeamUSA face @TheNZTeam in… https://t.co/YfTdtkPJad",-1
Mestre! M400 free style🇻🇪 #Tokyo2020,-1
"stories #Cgm48Official #CGM48_stories 

hash tag:
 #teamthailand
 #unitedbyemotion
 #strongertogether
 #cgm48… https://t.co/VcpEIzepx8",-1
"Team Kenya Athletes fly out to Tokyo ahead of Olympic Games
#teamkenya #tokyo2020 https://t.co/dWLY0XMhQP",46
"Knee and back injuries are common in martial arts like judo and taekwando, due to quick changes in direction, twist… https://t.co/r06f0rXdyu",34
"Game Started: Netherlands v Brazil, Netherlands v Brazil, Olympic Women's Tournament Tokyo 2020,… https://t.co/4ZkRp6EPDO",1
"Congratulations @mirabai_chanu 🇮🇳 on wining the Silver for #TeamIndia in #Weightlifting
#MirabaiChanu
#Tokyo2020… https://t.co/5SzaAd6Czx",-1
"Andy Murray advances in men’s doubles as tennis players suffer in Tokyo heat | By @tumcarayol
#Tokyo2020 https://t.co/RqKmQkLmY2",52
"We're all behind Team GB 🇬🇧
Get your very own timeless @BenshermanUK piece with us online or in stores. Commemorati… https://t.co/qVWpYw11HG",-1
Now watching #Tokyo2020 Men’s #volleyball  Poland v Iran,-1
"Less than a week to go now... 

#Tokyo2020 #Olympics #Athletics https://t.co/aUC5LE8HpL",-1
Who doesn't love drones?! #Tokyo2020 🌍 https://t.co/Iu98ymqUqd,14
"Piroz be!

#Tokyo2020
İstanbul #Ayasofya",51
Shey this 2 useless stations will not show matches niii.  I wan watch Netherlands vs Brazil na.  #Tokyo2020,10
I have just started watching the #Tokyo2020 Opening Ceremony. Olympic opening ceremonies always give me the goosebu… https://t.co/1M4zDIyyGc,14
"ConCongratulations #MirabaiChanu on winning Silver medal for the country!🇮🇳🥈
You have made us all proud 🙌🏻… https://t.co/f80ayojBzZ",0
"Congratulations #MirabaiChanu on winning Silver medal for the country!🇮🇳 proud of you 
#Cheers4India #Tokyo2020… https://t.co/AXXIYgsqES",0
"I love this GB kit ⚽️🔥

#Tokyo2020",15
#IndiaTodayAtOlympics: @mirabai_chanu's father says he's proud of his daughter for making India proud. Listen in.… https://t.co/PuLcul4EyE,0
"Congratulations @mirabai_chanu for winning a hard earned and well deserved Silver Medal .🇮🇳
#Tokyo2020 https://t.co/qFK8WMPv9I",0
Our hope for #Tokyo2020 medals  are chasing keke and yellow-bus in +30°C in Lagos traffic etc. Boxing fall-of-famer… https://t.co/6uWYpvZJ16,46
Get your act together @SonyLIV Don't spoil the Olympics experience for us. Your coverage is pretty bad so far #Tokyo2020,0
Russia 🇷🇺 vs USA 🇺🇸 men’s tennis doubles match was absolutely insane WOW 🔥🔥 #Olympics #Tokyo2020 @FTiafoe #USA,-1
"#Badminton so fun to watch, they going crazy #Tokyo2020",9
"Day one in the books #Tokyo2020 
Mount Fuji 🗻 showed itself at the end of the day 🚴🏻‍♂️🚴🏽🚴🏾‍♂️ #beattheheat… https://t.co/09XdtSzktS",5
Hello #couchpeloton The cycling feed in the USA has two Australian commentators- male and female. #Tokyo2020 Any cl… https://t.co/TwJ1ffBEE5,10
". @BBCSport .@TeamGB
 .@britishswimming
Why are we not getting the swimming live from #Tokyo2020 it's not even on r… https://t.co/51OsbqSkvx",48
"#Tokyo2020 
Taekwondo
Quarterfinals

DEMSE Solomon of #Ethiopia lost against JENDOUBI Mohamed Khalil",49
Great first swim by @walsheellen right on her best time. Huge congratulations! Looking forward to the 200 IM now. #Tokyo2020 #TeamIreland,-1
"#TeamIndia  | #Tokyo2020| #Boxing 
Unfortunately #VikasKishanYadav  loses to Japanese Boxer.
But it's okay we will… https://t.co/TDLk1Gzg9I",4
